터미널: 감곡시외터미널
출발,요금(어른),소요시간
07:00,15,000 원,01:58
08:10,15,000 원,01:58
11:40,11,500 원,01:58
13:25,15,000 원,01:58
15:00,15,000 원,01:58
16:10,15,000 원,01:58
17:30,11,500 원,01:58
19:00,15,000 원,01:58
터미널: 군산시외버스터미널
출발,요금(어른),소요시간
09:20,16,000 원,03:03
10:40,16,000 원,03:03
13:05,16,000 원,03:03
16:15,16,000 원,03:03
17:55,16,000 원,03:03
터미널: 금왕임시정류소
출발,요금(어른),소요시간
06:40,8,900 원,01:47
07:00,8,900 원,01:34
09:46,8,900 원,01:40
10:10,8,900 원,01:47
11:36,8,900 원,01:40
15:36,8,900 원,01:47
17:40,8,900 원,01:47
18:41,8,900 원,01:47
19:00,8,900 원,01:40
터미널: 기흥역시외버스정류소
출발,요금(어른),소요시간
07:10,8,700 원,01:34
09:50,8,700 원,01:34
12:30,8,700 원,01:34
15:25,8,700 원,01:34
